importer_name,import_vol_2015,import_val_2015,import_vol_wma_spp_th,import_vol_wma_nonspecific,import_val_wma_spp_th,import_val_wma_nonspecific,ratio_vol,n_spp_imports,n_thr_spp_imports
Afghanistan,0.6399999976,1388.2077922221445,0,0.5244444436444444,0,809.3717494542944,0.819444446267361,0,0
Albania,8771.400375925645,13495283.199850623,90.23925870728888,2268.959644881467,268754.4174109313,4425262.595769386,0.2586770125223048,199,8
Algeria,15363.228913628845,30026634.359431192,328.5577803813111,4376.646671857622,996935.3731532516,5626869.241639988,0.28487804851850274,230,9
Andorra,1033.9348164137778,1819026.0200856426,18.946666768844445,534.4668671356444,45587.64006717004,738956.9728883831,0.5169251084797132,137,5
Angola,63945.664547682594,92519263.3099906,3281.684989398289,31476.391732135176,5117227.694267093,32257660.98008654,0.4922365254123532,236,10
Antigua Barb,706.2294075946222,1641251.2376933647,8.120000128022221,237.65933333100003,23059.32999664249,333845.80553985754,0.3365186025606812,145,6
Argentina,44129.6518527656,66594657.39161984,294.4433695392889,14574.002834038134,717146.828292037,19565494.036576327,0.330254199209704,234,9
Armenia,3116.681254512089,4725826.083660067,104.49128858311111,688.5594090831555,178975.43331678558,1003380.4678094743,0.22092711857727276,127,4
Aruba,744.5755561508668,1506578.4614697099,38.68666630457778,416.3066665260889,100927.1844771702,810007.99400261,0.5591194380301902,87,4
Australia,124226.66438064499,238664074.99843648,2170.0600081558223,58649.37779247903,5131301.143680296,109043961.8586389,0.4721158543931478,169,8
Austria,39054.56226337629,54898440.692289375,497.98286104964444,16668.982499800888,803222.1735323104,20038412.366551563,0.426812682917518,233,8
Azerbaijan,4552.393485274733,4860888.614382121,79.16666625386667,1812.8340277294,136373.79997958528,1889393.4818415274,0.3982155834273181,154,4
Bahamas,2233.7908957700442,5553031.530854388,63.57451867691112,663.6903508749778,153371.3105122609,1255680.2495564765,0.2971139116610048,157,6
Bahrain,10255.720204658179,19472777.435479302,5.481481574355556,8640.762409389445,15752.547269369346,14146830.6140129,0.8425310204411373,122,3
Bangladesh,10315.988824389557,11141164.588221578,0,9822.13548861649,0,10189271.618891515,0.9521273874778271,0,0
Barbados,2250.048746071378,3442078.047069137,34.186222327,1136.6162236144444,90712.61564263966,1431929.8233988937,0.5051518219767438,114,5
Belarus,101593.71902120768,128921479.2329798,2947.0961878636663,18050.60190729362,5056979.419915481,20555185.683525972,0.1776743885468506,194,6
Belgium,245390.27656236215,483097201.0081924,23968.758100544936,81436.16521942813,26489923.09877088,102821802.80666552,0.33186386339449103,292,8
Belize,3625.6970549013777,4321745.004476977,33.20685080088889,3195.0562395265333,88320.68688300236,3320755.701143917,0.8812253729823663,104,3
Benin,29811.735678675912,37216277.36852399,849.4933378104001,14722.5245240388,1900015.3777181155,15079603.251420511,0.493849961730665,187,8
Bermuda,553.5288891905556,1230440.0395973835,20.10666654322222,166.88814842955557,88902.11788032635,254846.3069897383,0.301498533660279,87,5
Bhutan,420.9199996937111,406833.29531247413,0.7822222391111111,387.5733331152444,2138.9586227392983,347780.1516282892,0.9207767114826287,46,1
Bolivia,7210.353335039067,5854193.362885859,0,3795.723710531422,0,3926584.8695686236,0.5264268662238667,0,0
Bosnia Herzg,4531.352450456845,6107873.25023941,156.65025266108887,1200.7020616666223,222436.17580500885,1438941.206294399,0.2649765328992604,183,6
Botswana,907.9755348353557,1705582.2539815234,16.066548252088886,667.7917197110223,35642.63936666513,1048836.6687975223,0.7354732524066453,123,7
Brazil,122401.14464305154,130254429.48540926,968.7755493792222,46202.202251175935,1530258.0020149983,69879899.18034464,0.3774654427122528,266,8
Brunei Darsm,4744.592593723156,7844743.211678486,20.857777481844444,4155.695557282133,37996.472719556936,6736646.845093545,0.8758803785977111,140,4
