scientificname,commonname,taxGroup,stockid
Sebastes fasciatus,Acadian redfish,sebastids,ACADRED2J3K
Scomber colias,Argentine chub mackerel,carangids-mackerels,ACMACKSARG
Beryx splendens,Alfonsino,other marine fish,AFLONCH
Thunnus alalunga,Albacore tuna,tuna-billfish,ALBAIO
Pleuronectes quadrituberculatus,Alaska plaice,pleuronectids,ALPLAICBSAI
Bathyraja parmifera,Alaska skate,elasmobranchs,ALSKABSAI
Hippoglossoides platessoides,American plaice,pleuronectids,AMPL23K
Engraulis encrasicolus,Anchovy,forage fish,ANCHIXa
Clupeonella engrauliformis,Anchovy kilka,forage fish,ANCHOVYKILKACS
Lophius budegassa,Black bellied angler,other marine fish,ANGLMEDGSA15-16
Theragra chalcogramma,Walleye pollock,gadids,APOLLNEMS
Pandalus eous,Alaskan pink shrimp,shrimps,APSHRIMPSOJ
Mactromeris polynyma,Arctic surfclam,bivalves-gastropods,ARCSURF4RST
Atheresthes stomias,Arrowtooth flounder,pleuronectids,ARFLOUNDBSAI
Engraulis anchoita,Argentine anchoita,forage fish,ARGANCHONARG
Merluccius hubbsi,Argentine hake,gadids,ARGHAKENARG
Pleurogrammus azonus,Arabesque greenling,other scorpaenids,ARGREENNEMS
Decapterus muroadsi,Amberstripe scad,carangids-mackerels,ASCADECS
Squatina squatina,Angel shark,elasmobranchs,ASHARNEATL
Thunnus thynnus,Atlantic bluefin tuna,tuna-billfish,ATBTUNAEATL
Hippoglossus hippoglossus,Atlantic halibut,pleuronectids,ATHAL3NOPs4VWX5Zc
Pleurogrammus monopterygius,Atka mackerel,other scorpaenids,ATKABSAI
Micropogonias undulatus,Atlantic croaker,other marine percoidids,ATLCROAKMATLC
Dissostichus mawsoni,Antarctic toothfish,other marine fish,ATOOTHFISHRS
Sebastes aurora,Aurora rockfish,sebastids,AUROCKPCOAST
Arripis trutta,Australian salmon,other marine percoidids,AUSSALMONNZ
Anarhichas lupus,Atlantic wolffish,other marine fish,AWOLF5YZ
Callinectes sapidus,Blue crab,crabs-lobsters,BCRABCHESB
