taxa_group2,record_cat,catch,catch_prop_tot,catch_prop_group,catch_prop_tax_tot,trade,trade_prop_tot,trade_prop_group,trade_prop_taxa_tot
Chondrichthyan,aggregated,2493085.0712259836,0.48,60.41,0.8,1271100.057475283,0.66,87.5,0.75
Chondrichthyan,spp_not_th,1179884.2745727503,0.23,28.59,0.8,4395.590013819,0,0.3,0.75
Chondrichthyan,spp_th,449651.4263154745,0.09,10.9,0.8,177206.056008237,0.09,12.2,0.75
Chondrichthyan,spp_unknown_status,4268.811295215642,0,0.1,0.8,0,0,0,NA
Invertebrate,aggregated,39254347.303252324,7.58,49.2,15.4,24551103.550771117,12.74,63.2,20.16
Invertebrate,spp_not_th,11534818.915490326,2.23,14.46,15.4,4326604.884922905,2.25,11.14,20.16
Invertebrate,spp_th,27737.411090364352,0.01,0.03,15.4,7540.114032287,0,0.02,20.16
Invertebrate,spp_unknown_status,28971885.998158563,5.59,36.31,15.4,9961463.614529388,5.17,25.64,20.16
Other,aggregated,45661583.77754367,8.82,100,8.82,3653664.383824483,1.9,100,1.9
Other,spp_unknown_status,167.5942561212152,0,0,8.82,0,0,0,NA
Teleost,aggregated,84246755.25994743,16.27,21.69,74.98,59832523.524063274,31.06,40.24,77.19
Teleost,spp_not_th,205003702.40964532,39.58,52.79,74.98,67776936.29997902,35.18,45.58,77.19
Teleost,spp_th,7458466.894352926,1.44,1.92,74.98,3776384.296152094,1.96,2.54,77.19
Teleost,spp_unknown_status,91663912.29764174,17.7,23.6,74.98,17313105.633340944,8.99,11.64,77.19
