taxon_sciname,redlist_category,tot_catch_mt,tot_value_usd,usd_mt_avg,usd_mt_2014,iucn_taxonid,assessment_id,assessment_date,scopes,phylum_name,order_name,class_name,family_name,redlist_criteria,threats,conservation_actions,population_trend,population,systems,spp_yn,taxa_group,record_cat
Ablennes hians,LC,8886.160677,6570273.252,739.382675,896.0000000000001,13486514,15603320,2012-08-20,Global,CHORDATA,BELONIFORMES,ACTINOPTERYGII,BELONIDAE,NA,There are no known major threats.,There are no species-specific conservation measures in place.,Unknown,This species is relatively common throughout its range (B. Collette pers. comm. 2012).,Marine,yes,Teleost,spp_not_th
Abudefduf luridus,LC,0.00195,11.28075,5785,5785,188419,1872089,2011-03-15,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,POMACENTRIDAE,NA,This species is a minor component of the aquarium trade.,This species is found in marine protected areas in parts of its range.,Unknown,"This species is common throughout its range, but little is known about its population trend.",Marine,yes,Teleost,spp_not_th
Acanthistius brasilianus,DD,237,732934.2976,3092.549779,1463.0701990000002,154987,4683767,2009-03-02,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SERRANIDAE,NA,This is a rare species. It is not found in areas in which trawling occurs (Heemstra pers. comm.). It is not known if this species is being impacted by any major threats but the species could be experiencing negative effects from coastal pollution and development.,"There are no known species-specific conservation measures in place for <em>Acanthistius brasilianus</em>, however its distribution may cover a number of marine protected areas. Further research on population trends and potential threats is needed.",Unknown,"<em>Acanthistius brasilianus</em> is only known from nine specimens. Irigoyen <span style=""""font-style: italic;"""">et al.</span> (2008) noted that this was an uncommon species occurring in Brazilian waters from Bahia to Sao Paulo. It is observed rarely on rocky bottoms.",Marine,yes,Teleost,spp_unknown_status
Acanthocybium solandri,LC,70636.00938,183075019.1,2591.808636,3204.313993882523,170331,6750961,2010-09-25,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCOMBRIDAE,NA,"There do not appear to be any organized fisheries for this species in most areas (Collette and Nauen 1983), but this species is targeted in the western Atlantic by both commercial and recreational fisheries, where landings are most certainly under reported for this species (Oxenford <span style=""""font-style: italic;"""">et al</span>. 2003). This species is typically caught by trolling, hook and line and as a bycatch in purse-seine and longline fisheries (Collette 1995).<br/><br/>In the Eastern Pacific, this species is often caught as bycatch in purse seines, especially given the increased effort using Fish Aggregating Devices (FADS). No stock assessment has been carried out. In the Atlantic, small tunas are exploited mainly by coastal fisheries and often by artisanal fisheries, although substantial catches are also made, either as target species or as bycatch, by purse seiners, mid-water trawlers, handlines, troll lines, driftnets, surface drifting long-lines and small scale gillnets. Several recreational fisheries also target small tunas. In the southwest Atlantic this species is caught by artisanal handline and trolling in the northeast and central Brazil, as bycatch in industrial longliners and game fisheries (Nobrega <span style=""""font-style: italic;"""">et al</span>. 2009, Amorim and Silva 2005).<br/><br/>Increasing using of FADs, both fixed and those used in the tropical tuna purse seine fishery, has increased the directed and bycatch mortality of Wahoo throughout its range. However, there is a general lack of information on the mortality of these species as bycatch, exacerbated by the confusion regarding species identification (ICCAT 2009).","This species' distribution includes a number of Marine Protected Areas. There are limited species-specific conservation measures in place for this species. In the US Atlantic, the harvest of this species is restricted to hook and line gear (SAFMC 2003). Area wide annual closures of 62 days exist for this species in the Eastern Pacific, and there is also a FAD closure in the western and central Pacific for two months a year (WCPFC 2009).<br/><br/>The status of Wahoo resources in the western central Atlantic remains unclear. Reliable Wahoo catch and fishing effort data from this area, improved knowledge of migration patterns, reproductive characteristics and critical habitat, validation of age, growth and mortality estimates, and a more comprehensive analysis of stock structure for the entire Atlantic are needed for informed Wahoo stock assessment and management (Oxenford <span style=""""font-style: italic;"""">et al</span>. 2003).",Stable,"The population is estimated to be relatively stable, primarily due to their rapid growth rate and reproductive potential. Reported worldwide catches show a gradual increase from 100 t in 1960, to 3,392 t in 2006 (FAO 2009). It is possible that this increase may represent an improvement in documentation and/or increase in fishing effort.<br/><br/><span style=""""font-weight: bold;"""">Atlantic</span><br/>Estimated catches in the Atlantic and Caribbean between 1983 and 2007 are variable and range between a peak of 3,085 mt in 1997 and a low of 920 mt in 1985 (ICCAT 2009). It is important to note that variability in catches might be more related to reporting rate than to actual fluctuations in the population (Hazin pers. comm. 2010). There is a pronounced seasonal abundance of this species at least in the Western Atlantic (SAFMC 2003).<br/><br/>The most recent stock assessment for the eastern Caribbean (CRFM 2007) concluded that there was no decline in the catch rate, but that the data were insufficient. The mean catch rates between 1996 and 2006 fluctuated between 20–25 kg/trip without a clear trend. Catch per unit effort (CPUE) data were used from only two countries, Barbados and St. Lucia. The recommendation was that there should be a precautionary approach to the development of the fishery (CRFM 2007). The status of Wahoo resources in the western central Atlantic remains unclear.<br/><br/>Between 1990 and 2009, the U.S. Atlantic and Gulf of Mexico recreational landings fluctuated between 22,000 and 110,000 fish/year without discernible trend (R. Nelson pers. comm. from NMFS Fisheries Statistics Division 2010).&#160; During the same time period, reported U.S. commercial landings peaked at 165 mt in 1993 and then steadily declined to 61 mt in 2008 (R. Nelson pers. comm. from NMFS Fisheries Statistics Division 2010).<br/><br/><span style=""""font-weight: bold;"""">Mediterranean</span><br/>Catches of this species are generally not reported in the Mediterranean, as this species is not a typical resident and occurs only sporadically.<br/><br/><span style=""""font-weight: bold;"""">Eastern Tropical Pacific</span><br/>Landing data from the Eastern Tropical Pacific region show recent increases in landings (FAO 2009). There are no data to suggest that the increase in landings is negatively affecting the population.<br/><br/><span style=""""font-weight: bold;"""">Indian Ocean</span><br/>Only minimal catches are reported for the Indian Ocean (IOTC 2007).",Marine,yes,Teleost,spp_not_th
Acanthopagrus berda,LC,2.973829168,6943.94999,2335.0198,2522.9999999999995,170266,96231628,2016-06-28,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,NA,There are no major threats known for this species. There may be some localised threats by overfishing and habitat degradation (especially of estuaries and river mouths).,In South Africa this species is subject to catch restrictions (five fish per person per day) and a minimum size limit of 25 cm (TL). There   are no other known species-specific conservation measures in place for this species. It   occurs in some marine protected areas within its range (WDPA 2015).,Unknown,"<strong>FAO&#160;Regional Commission for Fisheries&#160;(RECOFI) Capture Production (2000-2011)</strong><strong><br/></strong>FAO RECOFI aggregate landings of <em>Acanthopagrus berda</em>&#160;show an overall increasing trend from 20 tonnes in 2000 to 63 tonnes in 2011. A peak of 72 tonnes was collected in 2008 in the RECOFI area of competence which is comprised of the Persian Gulf, the Gulf of Oman and the waters along the Omani coast.&#160;<strong><br/></strong><strong><br/></strong><strong>FAO Global Capture Production (2000-2011)</strong><strong><br/></strong>FAO global aggregate landings of&#160;<em>Acanthopagrus berda</em>&#160;show an overall increasing trend from 28 tonnes in 2000 to 63 tonnes in 2011.<strong><br/></strong><strong><br/></strong>",Freshwater (=Inland waters)|Marine,yes,Teleost,spp_not_th
Acanthopagrus bifasciatus,LC,1219.250305,951527.6491,780.4202674,761.7600973077953,170239,1299349,2013-11-03,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,NA,"The fishing mortality in the southern Persian Gulf is well within the estimated safe harvest level (F<sub>0.1</sub>), however, the development of the fishing fleet of the United Arab Emirates in the southern Persian Gulf has raised concerns relating to the resource management implications (Grandcourt&#160;<em>et al.</em>&#160;2004).&#160;Spawning aggregations off the coast of Oman are actively targeted by fishers using trawls and long-line. There may also be some localized habitat destruction of coral reefs and estuaries in parts of its range.","There are no species-specific conservation measures in place for&#160;<em>Acanthopagrus bifasciatus</em>. However, its distribution overlaps several marine protected areas within its range (World Database of Protected Areas, accessed 11 March 2014).",Unknown,"<em>Acanthopagrus bifasciatus </em>is common on reefs of Kuwait and most frequent in the spring and summer, especially at Qaro Island (Carpenter <em>et al. </em>1997).&#160;<em>Ac</em><em>anthopagrus bifasciatus</em>&#160;is common in Rodrigues Island (Y. Iwatsuki pers. comm. 2009).&#160;<em>Acanthopagrus bifasciatus</em>&#160;and&#160;<em>Argyrops spinifer</em>&#160;form a small component of landings in the southern Gulf representing about 2.5% of the total annual catch. During 2002, 78 tonnes of&#160;<em>A. bifasciatus</em>&#160;were landed in the Emirate of Abu Dhabi (Grandcourt&#160;<em>et al</em><span style=""""font-style: italic;"""">.</span>&#160;2004). The fishing mortality of&#160;<em>A. bifasciatus</em>&#160;accounted for 10% of the total mortality in the southern Persian Gulf, which was well within the estimated safe harvest level (F<sub>0.1</sub>) (Grandcourt&#160;<em>et al.</em>&#160;2004).&#160;Small sized individuals are abundant summer while larger individuals are more common in winter (Sivasubramaniam and&#160;Ibrahim 1982). <br/><br/>Grandcourt<em> et al.</em> (2004) compiled size frequency data for <em>A. bifasciatus</em> in the southern Gulf from commercial catches made off the coast of Emirate of Abu Dhabi in UAE between September 2000 and March 2003. Biological data were collected from individuals purchased from commercial catches between June 2002 and May 2003. Grandcourt<em> et al.</em> (2004) determined the mean size and age at first sexual maturity for females to be 26.4 cm for females and 2.2 years for males and females combined. Mean size at first capture was 14.6 cm, which was smaller than the size at which maximum yield per recruit occurs (21.1 cm) (Grandcourt <em>et al. </em>2004). The size at which the probability of capture was 100% for <em>A. bifasciatus</em> was estimated to be 22.5 cm. Juvenile retention was estimated to be 50.1%. Grandcourt <em>et al</em>. (2004) estimated the natural, fishing and total mortality rates for&#160;<em>A. bifasciatus</em>&#160;to be 0.669 per year, 0.075 per year, and 0.744 per year,&#160;respectively. The estimated exploitation rate was 0.100 per year<sup></sup>, comparable to what was estimated to be a safe harvest level at F0.1 (0.563 per year<sup></sup>). Grandcourt <em>et al.</em> (2004) concluded that&#160;<em>A. bifasciatus</em>&#160;is exploited at a safe level; however, the differences between the mean size at first capture that would maximize yield per recruit (21.1 cm) and the high juvenile retention rate (50.1%), suggests that the trap fishery's mesh size regulations should be reviewed.<br/><br/>FAO capture production in 2007 were: Bahrain - 155 tonnes, Iran - 2,545 tonnes, Saudi Arabia - 510 tonnes and United Arab Emirates - 450 tonnes.<br/><br/>Catches of this species from Bahrain were: 75.8 mt in 2009, 90.4 tonnes in 2010 and 59.5 mt in 2011 (E. Abdulqader pers comm. 2013). Separate statistics are not available for this species from&#160;Kuwait as it is recorded in """"other"""" category that is not taxonomically distinct (J. Bishop pers. comm. 2013).&#160;Catch statistics from Qatar are not available, but this species is common in the markets.&#160;<br/><br/><strong>FAO RECOFI Capture Production (1997-2011)<br/></strong>FAO RECOFI aggregate landings show an overall increasing trend from 1,066 tonnes in 1997 to a peak of 4,065 tonnes in 2011.&#160;<strong><br/></strong><strong><br/></strong><strong>FAO Global Capture Production (1997-2011)</strong><strong><br/></strong>FAO global aggregate landings show an overall increasing trend from 1,642 tonnes in 1997 to a peak of 4,542 tonnes in 2011.<br/><strong><br/></strong><strong>Annual Catch Statistics Report for Abu Dhabi Emirate Fisheries (2005-2012)</strong><br/>Abu Dhabi Emirate fisheries collected, on average, 44.1 tonnes of&#160;<em>Acanthopagrus bifasciatus </em>between 2005-2012. A peak of 68.3 tonnes were collected in 2006, followed by a decline to 28.4 tonnes in 2012.",Marine,yes,Teleost,spp_not_th
Acanthopagrus schlegelii,LC,6709.344972,12110389.13,1805.003197,2137.0536586105086,170153,20567110,2009-12-03,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,NA,"<em>Acanthopagrus schlegelii&#160;</em>is a high value fish in Viet Nam (Y. Iwatsuki pers. comm. 2009).&#160;<em>Acanthopagrus schlegelii </em>is a very important commercial and recreational species throughout its range and&#160;has been overfished in the past.&#160;Overfishing is a threat to this species in Taiwan (K. Shao pers. comm. 2009) and also in Japan (Y. Iwatsuki pers. comm. 2009).&#160;This species exhibits life history traits that make it vulnerable to overexploitation which may be exacerbated by major past declines. Although, intensive restocking initiatives have been implemented for this species, possible threats still include overfishing.&#160;<em>Acanthopagrus schlegelii&#160;</em>may also be susceptible to habitat loss and degradation as a result of eutrophication, solid waste and other pollution, and coastal impacts from climate change (Islam and Tanaka 2004).<br/><br/>The large number of hatchery-reared black sea bream juveniles released in Hiroshima Bay appears to have increased the stock biomass. This has caused density-dependent decreases in size-at-age and a shift in the sex ratio. These findings highlight the potential negative effects of intensive releases of cultured juvenile fish (Blanco-Gonzalez<em>&#160;et al.</em>&#160;2009).","There are no species specific conservation efforts in place for&#160;<em>A. schlegelii</em>; however, the range of this species overlaps with a number of marine protected areas (World Database of Protected Areas, accessed March 2014). There is a need for further research to determine life history, threats, taxonomy, and population trends for&#160;<em>A. schlegelii.&#160;</em>",Stable,"About 30 years ago, overfishing lead to a drastic reduction in landings of <em>Acanthopagrus schlegelii </em>in Hiroshima Bay and an intensive stock enhancement program was subsequently implemented in the 1980s (Gonzalez <em>et al.</em>&#160;2008).&#160;<em>Acanthopagrus schlegelii</em>, has been stocked into Hiroshima Bay in the western part of the Seto Inland Sea of Japan since the early 1980s. Stock enhancement program of <em>A. schlegelii</em> was initiated when annual landings dropped below 200 tonnes. The number of&#160;<em>A.&#160;</em><em>schlegelii&#160;</em>juveniles released in 1996 exceeded nine million, representing the third main species stocked in Japan, with almost 1.4 million of the juveniles released into Hiroshima bay (Gonzalez&#160;<em>et al.</em>&#160;2008). Around six million fingerlings are artificially stocked annually in Japan (Fushimi 2001).&#160;More than one million juveniles were released each year between 1985 and 1996. Subsequently, total harvest increased to &gt;200 tonnes per year and Hiroshima Bay is now the primary fishing ground for this species in Japan, accounting for 10% of total domestic landings. More than half of the <em>A. schlegelii</em>&#160;population is caught in the Seto Inland Sea with Hiroshima Bay (Blanco-Gonzalez&#160;<em>et al.</em>&#160;2009).&#160;After the Hiroshima Bay stock enhancement in the early 1980s, data suggest that the combined effects of releases of cultured juveniles and reduced fishing effort resulted in reduced size-at-age in black sea bream due to density-dependent processes. Further support for the hypothesis that the carrying capacity for black sea bream was exceeded in 2000 comes from the sex ratio. It appears that by 2000, many of the released fish, and those no longer as vulnerable to capture due to lower fishing effort, had matured as females (Blanco-Gonzalez&#160;<em>et al.</em>&#160;2009).&#160;<br/><br/>In Hiroshima Prefecture, western Japan, the catch of black sea bream accounted for 15% of the total black sea bream catch in Japan. Hiroshima Bay is known as the main fishing ground with 60% of the catch in the prefecture. The recent increment in the volume of landings of this fish seems to be linked to the intensive stocking practices in the area since 1982 (Jeong <em>et al.</em> 2007). However, overall landings decreasing in Japan (Y. Iwatsuki pers. comm. 2009).&#160;The increase in population of this species from catch is largely due to stocking in Taiwan (Liao pers. comm. 2009).&#160;In 1982 and 1983, prior to the intensive stocking, the catch per unit effort (CPUE) in Hiroshima Bay remained low but in 1999 and 2000, the CPUE increased 10-fold (Blanco-Gonzalez <em>et al.</em> 2009).&#160;<br/><br/>FAO capture production in Taiwan for the&#160;<em>A. schlegelii</em>&#160;show an increase from 1998 to 2007, from 604 tonnes with a peak in 2001 of 878 tonnes and 602 tonnes in 2007. Total production for <em>A. schlegelii</em>&#160;in Taiwan in 1995 was approximately 7,000 tonnes and this had declined by 2007 to 1,157 mt with an estimated value of 165,233 NT $ (Fisheries Agency 2007). This decline is thought to be because of overfishing (K. Shao pers. comm. 2009).<br/><br/>The increase in population from catch is largely due to stocking in Taiwan (W. Liao pers. comm. 2009).",Marine,yes,Teleost,spp_not_th
Acanthuridae,None,8946.102831,24800043.39,2772.161673,3260.000000000001,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,Teleost,aggregated
Acanthurus,None,20726.73442,59368170.54,2864.328231,2860.638027425523,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,Teleost,aggregated
Acanthurus lineatus,LC,1968.223155,3357354.848,1705.779571,1753.488635500001,177993,1514809,2010-05-03,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,ACANTHURIDAE,NA,"There were significant reductions in biomass between fished and protected areas reported in the Philippines (Stockwell <span style=""""font-style: italic;"""">et al. </span>2009). In American Samoa, indicators of fishing pressure did not point to significant overfishing over a 9-year period (Craig<span style=""""font-style: italic;""""> et al.</span> 1997). <br/><br/>The status of reef fisheries in American Samoa has commonly been reported as over-exploited, however, comparing patterns and trends from fishery independent surveys with fishery-dependent data showed a significant decline in shoreline fishing effort and a non-significant decrease in boat-based effort, resulting in constant catch landings and catch-per-unit effort. Concurrent with the decline in fishing effort and constant catch landing was an increase in fish abundance and biomass for the targeted families. The decrease in fishing pressure occurred during a period of rapid population growth, indicating non-dependence of the general population on fishing, reflecting the change in the social and economic dynamics within the  territory (Sabater and Carroll 2009).<br/><br/>Craig <span style=""""font-style: italic;"""">et al.</span> (2008) showed that the current harvests of the subsistence fishery in outer islands of American Samoa is similar to those in historic and prehistoric periods, indicating that the fishery is harvested at a sustainable level.<br/><br/>Surgeonfishes show varying degrees of habitat preference and utilization of coral reef habitats, with some species spending the majority of their life stages on coral reef while others primarily utilize seagrass beds, mangroves, algal beds, and /or rocky reefs. The majority of surgeonfishes are exclusively found on coral reef habitat, and of these, approximately 80% are experiencing a greater than 30% loss of coral reef area and degradation of coral reef habitat quality across their distributions. However, more research is needed to understand the long-term effects of coral reef habitat loss and degradation on these species' populations. Widespread coral reef loss and declining habitat conditions are particularly worrying for species that recruit into areas with live coral cover, especially as studies have shown that protection of pristine habitats facilitate the persistence of adult populations in species that have spatially separated adult and juvenile habitats (Comeros-Raynal <span style=""""font-style: italic;"""">et al</span>. 2012).","There are no species-specific conservation measures in place for this species. Its distribution overlaps several marine protected areas in parts of its range. In American Samoa, SCUBA fishery has been banned since 2001 by Executive Order and subsequently in 2002 by regulation (Green 2003). Night spearfishing has been banned as well (J.H. Choat pers. comm. 2010). <br/><br/>In Queensland, Australia, there is a recreational catch limit of 5 per  species and a minimum size limit of 25 cm (Department of Primary  Industries accessed 8 April 2010).",Stable,"<p>In Fagatale Bay, American Samoa, <span style=""""font-style: italic;"""">A. lineatus</span> is a dominant species on the reef slope (Green<span style=""""font-style: italic;""""> et al. </span>1999). It was the eighth most dominant species in Tutuila, Aunuu, and Taema Banks, American Samoa, contributing 2.7% of total fish biomass and 1.9% of numerical abundance (Sabater and Tofaeono 2006).&#160; It is moderately common in Calamianes Islands, Puerto Princesa and San Vicente, Philippines, Milne Bay, Papua New Guinea and Raja Ampat, Indonesia where it is usually in shallow surge-affected areas (Werner and Allen 2000; Palawan Council for Sustainable Development unpub. data; Allen 2003, 2003b).                 </p><p>                                  At Moorea, French Polynesia, SPOT satellite images allowed estimation of the surface area of fringing reef (1,076 ha), barrier reef (3,788 ha) and outer slop (493 ha). A total of 30,563 individuals were recorded in this area in fish visual surveys conducted from 1990-1993 (Lecchini <span style=""""font-style: italic;"""">et al.</span> 2006).Visual census surveys of the Iboih coast, Weh Island, Indonesia, recorded fish densities of 19 individuals/750 m<sup>2</sup> at Pantai sirkui, 13 individuals/750 m<sup>2</sup> at Teupin Layeu and 9 individuals/750 m<sup>2 </sup>at Teluk Pelabuhan (Faculty of Mathematic and Natural Science 2007). It occurs in high densities on coral reefs - 0.4 fish/m<sup>2</sup>&#160;- in American Samoa (Craig 1996).</p>In American Samoa, 2007 commercial landings for Acanthurids totalled 10,338 lbs with an estimated value of $23, 586 USD (Department of Marine and Wildlife Resources and the Western Pacific  Fishery Information Network 2009). From July 1990 through to June 1991, landings of Acanthurids (surgeonfish) totalled 13,431 lbs, or 9% of the total catch. This species and <span style=""""font-style: italic;"""">A. xanthopterus</span>&#160;comprised 82% of the total Acanthurid catch. <span style=""""font-style: italic;"""">A. linetaus</span> were caught almost exclusively by divers, and 78% of the catch was landed at night. From July 1990 through to June 1991,&#160;4,054 lbs were landed in the study areas (Ponwith 1991). In 1994, <span style=""""font-style: italic;"""">A. lineatus</span> ranked 2<sup>nd</sup> among all species harvested in small-scale fisheries in American Samoa. It accounted for 10% of the total catch of 295 tons (Department of Marine and Wildlife Resources unpub. data Pago-Pago, American Samoa). <span style=""""font-style: italic;"""">A. lineatus</span> accounted for 39% by weight of artisanal catches and only 1-3% of subsistence catches (Craig<span style=""""font-style: italic;""""> et al. </span>1997).   <p></p><p>In the outer islands of American Samoa, the annual harvest of 37.5 metric tonnes (mt) (82,584 lb) of a small-scale subsistence fishery consisted of a diverse array of coral reef fishes and invertebrates. Of the reef-associated catch of 21.4 mt, <span style=""""font-style: italic;"""">A. lineatus </span>accounted for 24% of the catch (Craig 2008). In Guam it is the third most abundant surgeonfish in terms of landing. The numbers increased throughout the 1990s, which corresponded with an increase in spearfishing. Densities of this species are considerably lower outside of marine reserves and in areas of high exploitation. In Pohnpei, it is 15% of the total Acanthurid landing (Rhodes <span style=""""font-style: italic;"""">et al.</span> 2008). This species makes up 5% of the total catch in Saipan for 2009 (P. Houk unpub. data).<br/></p><p>                  </p><p>In the central Philippines, density and biomass of herbivorous fish in reserves had positive relationships with duration of reserve protection. Acanthuridae and Labridae (parrotfishes) were the major families that increased in biomass inside reserves with duration of reserve protection. Herbivore biomass inside reserves compared to fished sites was on average 1.4, 4.8 and 8.1 times higher at 0.5 to 4, 5 to 7 and 8 to 11 years of protection, respectively. For <span style=""""font-style: italic;"""">A. lineatus</span>, fished site mean biomass was recorded at 0.01 kg per 500 m<sup>2</sup>&#160;while mean biomass recorded in 4 reserves were 0.13, 0.91 (5 to 7 years of protection), 1.67 and 19.59 (8 to 11 years of protection) (Stockwell <span style=""""font-style: italic;"""">et al. </span>2009). <br/> <br/> In Kenya, landings during 1978-2001 for families that are less important in commercial catches (e.g., scarinae and Acanthuridae) showed rising catches (1978-1984) followed by a general decline during the 1990s, but the landings for the scarinae showed a rising trend in recent years (Kaunda-Arara <span style=""""font-style: italic;"""">et al</span>. 2003).<br/><strong></strong></p>    <p></p>",Marine,yes,Teleost,spp_not_th
