fishing_entity,n_spp_catch,n_thr_spp_catch
Spain,410,43
Portugal,308,39
USA,271,33
France,333,32
Brazil,225,31
Unknown Fishing Country,115,29
United Kingdom,275,27
Korea (South),339,24
Japan,267,21
Ukraine,227,19
Senegal,113,16
Australia,246,15
New Zealand,191,15
Taiwan,123,15
China,195,13
Dominica,187,13
India,95,13
Ireland,162,12
Morocco,86,12
Russian Federation,225,12
Canada,99,11
Italy,137,11
Malta,116,11
Netherlands,157,11
Côte d'Ivoire,58,10
Uruguay,83,10
Venezuela,64,10
Denmark,97,8
Ecuador,46,8
Germany,110,8
Iceland,68,8
Kenya,23,8
Mexico,53,8
Norway,37,8
Trinidad & Tobago,81,8
Turkey,85,8
Ghana,83,7
Greece,85,7
Honduras,36,7
Namibia,62,7
Panama,71,7
South Africa,77,7
Sri Lanka,52,7
Azores Isl. (Portugal),67,6
El Salvador,15,6
Faeroe Isl. (Denmark),59,6
Gaza Strip,43,6
Iran,120,6
Libya,34,6
Saint Lucia,30,6
Saint Pierre & Miquelon (France),33,6
Vanuatu,28,6
Belgium,58,5
Belize,70,5
Chile,70,5
Estonia,70,5
Fiji,16,5
French Polynesia,25,5
Latvia,63,5
Lithuania,86,5
Mauritania,75,5
Pakistan,71,5
South Cyprus,81,5
Sweden,73,5
Togo,51,5
Tunisia,61,5
Bulgaria,23,4
Channel Isl. (UK),54,4
Colombia,50,4
Costa Rica,25,4
Gabon,46,4
Gambia,33,4
Guatemala,40,4
New Caledonia (France),19,4
Romania,15,4
Saudi Arabia,92,4
Algeria,66,3
Angola,50,3
Barbados,17,3
Bermuda (UK),13,3
Falkland Isl. (UK),34,3
Greenland,31,3
Grenada,42,3
Israel,49,3
Malaysia,142,3
Marshall Isl.,13,3
Micronesia,12,3
Montenegro,39,3
Papua New Guinea,17,3
Philippines,100,3
Poland,60,3
Sierra Leone,26,3
Syrian Arab Republic,22,3
Tonga,15,3
Benin,45,2
Cameroon,21,2
Cape Verde,36,2
"Congo, R. of",38,2
Cook Islands,14,2
Croatia,24,2
Cuba,37,2
Egypt,48,2
Equatorial Guinea,11,2
Georgia,16,2
Indonesia,68,2
Kiribati,11,2
Maldives,23,2
Mauritius,23,2
Peru,49,2
Réunion (France),29,2
Saint Vincent & the Grenadines,24,2
Samoa,10,2
Sao Tome & Principe,16,2
Slovenia,54,2
Tanzania,10,2
Turks & Caicos Isl. (UK),6,2
Albania,11,1
American Samoa,9,1
Argentina,42,1
Comoros,24,1
Curacao,7,1
Finland,25,1
Guinea,21,1
Guyana,24,1
Madagascar,13,1
Mayotte (France),3,1
Mozambique,19,1
Nicaragua,54,1
Nigeria,27,1
Niue (New Zealand),7,1
North Marianas (USA),8,1
Seychelles,14,1
Solomon Isl.,8,1
Thailand,66,1
Tokelau (New Zealand),3,1
Tuvalu,8,1
Viet Nam,36,1
Wallis & Futuna Isl. (France),4,1
