taxon_sciname,taxa_group,redlist_category,catch_spp_tot,catch_spp_mean,catch_spp_std,usd_spp_tot,usd_kg_mean,usd_kg_std,prop_thr_catch,prop_thr_usd,class,cites,cms,ram_commonname,taxGroup,stockid
Melanogrammus aeglefinus,Teleost,VU,2880091.521887095,320010.1690985661,53197.308219194514,4961854857.890461,1.7270062326776898,0.20175108651975968,35.65004455974207,30.37091511041863,NA,NA,NA,Haddock,gadids,HAD3LNO
Trachurus trachurus,Teleost,VU,2210901.0831338577,245655.675903762,106076.12533900909,2175703089.7648296,1.020641953823782,0.42221412278222537,27.366742178825064,13.317216189756978,NA,NA,NA,Horse mackerel,carangids-mackerels,HMACKIIa-IVa-Vb-VIa-VII-VIII
Thunnus obesus,Teleost,VU,1091210.944642569,121245.660515841,9530.699200886702,3331012706.737449,3.0472696471802383,0.35730079850712615,13.507112015348948,20.38872700743602,NA,NA,NA,Bigeye tuna,tuna-billfish,BIGEYEATL
Sardinella maderensis,Teleost,VU,457782.60525548446,50864.733917276055,39392.18324055232,207024835.21552014,0.5577882675752557,0.2610741098710313,5.666476274108003,1.2671740460284484,NA,NA,NA,NA,NA,NA
Thunnus thynnus,Teleost,EN,221564.14424690654,24618.238249656282,18385.644934439046,1687754600.827691,8.04968958032519,0.8343074062161246,2.742541879387187,10.330542342939262,NA,NA,NA,Atlantic bluefin tuna,tuna-billfish,ATBTUNAEATL
Nemipterus virgatus,Teleost,VU,175971.2823257506,19552.364702861178,5372.306429298699,362172469.91385305,2.095940845389649,0.24379738579688157,2.1781891333916747,2.2168140048660616,NA,NA,NA,NA,NA,NA
Trachurus mediterraneus,Teleost,VU,142912.13356879988,15879.125952088874,7801.47698586006,331024468.0354654,2.425554734073119,0.36770697372073013,1.7689798713470373,2.0261608422884967,NA,NA,NA,Mediterranean horse mackerel,carangids-mackerels,MHMACKMEDGSA29
Thunnus orientalis,Teleost,VU,132498.44759510897,14722.049732789887,4243.213296508834,1055061014.9605231,7.34017035043658,4.162163284193836,1.6400782839592891,6.457901216260356,NA,NA,NA,Pacific bluefin tuna,tuna-billfish,PACBTUNA
Isurus oxyrinchus,Chondrichthyan,EN,101470.11502282033,11274.457224757814,2438.8519984542577,289009675.41366005,2.907935532127661,0.376643149114013,1.2560066562313597,1.7689933642697626,Elasmobranchii,II,NA,Shortfin mako,elasmobranchs,SFMAKONWPAC
Isurus oxyrinchus,Chondrichthyan,EN,101470.11502282033,11274.457224757814,2438.8519984542577,289009675.41366005,2.907935532127661,0.376643149114013,1.2560066562313597,1.7689933642697626,Elasmobranchii,II,II,Shortfin mako,elasmobranchs,SFMAKONWPAC
Carcharhinus falciformis,Chondrichthyan,VU,70375.34224800403,7819.482472000448,1688.6358021497344,55331873.37269636,0.7836235364427607,0.2140415803966793,0.8711126254087128,0.3386797230536187,Elasmobranchii,II,II,NA,NA,NA
Pomatomus saltatrix,Teleost,VU,67643.5061557781,7515.945128419789,2198.8746872610864,236026997.0924497,3.5591618447308195,0.5320314040057976,0.8372977005434243,1.444692780777842,NA,NA,NA,Bluefish,other marine percoidids,BLUEFISHATLC
Squalus acanthias,Chondrichthyan,VU,67456.17719537366,7495.130799485963,2776.9663156790293,109079977.16613697,1.6434489166786808,0.1397812620011995,0.8349789249993149,0.6676653835391739,NA,NA,NA,Spiny dogfish,elasmobranchs,SDOG4VWX5
Squalus acanthias,Chondrichthyan,VU,67456.17719537366,7495.130799485963,2776.9663156790293,109079977.16613697,1.6434489166786808,0.1397812620011995,0.8349789249993149,0.6676653835391739,NA,NA,II,Spiny dogfish,elasmobranchs,SDOG4VWX5
Sphyrna zygaena,Chondrichthyan,VU,50752.18934053948,5639.132148948831,1437.2274702619866,36235846.68644853,0.722002275970573,0.08998222435143607,0.6282153875128235,0.22179524697668365,Elasmobranchii,II,NA,NA,NA,NA
Hippoglossus hippoglossus,Teleost,EN,48269.71558582642,5363.301731758492,3331.2807944035358,470370892.6103846,9.020194720472741,1.7687244995339397,0.597487093185592,2.8790834998255805,NA,NA,NA,Atlantic halibut,pleuronectids,ATHAL3NOPs4VWX5Zc
Thunnus maccoyii,Teleost,CR,44183.73882827602,4909.304314252891,508.11980999945,264725204.21687603,5.829564168582174,3.093852334596418,0.546910487418113,1.6203510451487029,NA,NA,NA,Southern bluefin tuna,tuna-billfish,SBT
