fishing_entity,year,record_cat,catch,value,catch_wma,value_wma
Albania,2006,aggregated,2295.792811826,1706457.025522621,2295.792811826,1706457.025522621
Albania,2006,spp_not_th,513.821028875,587823.9426112932,513.821028875,587823.9426112932
Albania,2006,spp_th,0,0,0,0
Albania,2006,spp_unknown_status,66.21116456,657154.4084261649,66.21116456,657154.4084261649
Albania,2007,aggregated,1907.1308567269998,1608617.0802987309,2036.6848417600002,1641230.395373361
Albania,2007,spp_not_th,462.965561589,361118.84240380395,479.9173840176666,436687.2091396337
Albania,2007,spp_th,0,0,0,0
Albania,2007,spp_unknown_status,189.9000563,2086622.2022225137,148.67042572,1610132.9376237309
Albania,2008,aggregated,2234.179058543,2126456.5505022164,2135.4319501514997,1883843.4729377888
Albania,2008,spp_not_th,531.752037416,519105.849783015,505.83471071683334,477896.5294613244
Albania,2008,spp_th,0,0,0,0
Albania,2008,spp_unknown_status,193.8577411,1668875.7854128922,171.26408341,1639504.3615183113
Albania,2009,aggregated,2414.715297231,1977182.2490250967,2247.1452889833,1921178.9833727118
Albania,2009,spp_not_th,596.987812959,510915.80941708665,542.2959516137,491104.24144362926
Albania,2009,spp_th,49.99999999999996,290249.99999999994,19.999999999999982,116099.99999999997
Albania,2009,spp_unknown_status,243.927723,1555340.4307109502,200.329539246,1605838.789195367
Albania,2010,aggregated,2245.801008293,1951724.1194818025,2246.6971954198666,1931360.6954090754
Albania,2010,spp_not_th,478.584398842,381127.2410208318,521.0587673564667,454445.24130269676
Albania,2010,spp_th,0,0,13.333333333333321,77399.99999999999
Albania,2010,spp_unknown_status,7.288095328,55475.241633128826,135.98239127333332,1089050.9400079541
Albania,2011,aggregated,2183.276999868812,1898970.1214748789,2228.5771395481365,1922106.2457135904
Albania,2011,spp_not_th,462.32713752034914,368570.27881695604,504.27830168900454,429909.5377353423
Albania,2011,spp_th,0,0,9.523809523809515,55285.714285714275
Albania,2011,spp_unknown_status,7.078653777052783,53881.022550651105,99.15275198868173,793288.1064487247
Albania,2012,aggregated,2357.4746328370734,2050483.6949968105,2260.801512870371,1954200.6080343954
Albania,2012,spp_not_th,499.21494104590823,397977.48191405303,503.0124615282304,421926.52378001995
Albania,2012,spp_th,0,0,7.142857142857137,41464.2857142857
Albania,2012,spp_unknown_status,7.6434399826686885,58180.04030735196,76.27542398717847,609511.0899133815
Albania,2013,aggregated,2604.980436346137,2265759.2307092245,2337.2857180872074,2023435.8575176906
Albania,2013,spp_not_th,551.6263618884736,439760.2163145125,513.8155504971734,425889.56656546274
Albania,2013,spp_th,9.10714285714286,13351.071428571435,7.5793650793650755,35216.90476190476
Albania,2013,spp_unknown_status,8.445907049814634,64288.228036664514,61.20219800109763,488350.45394077775
Albania,2014,aggregated,2794.420362199124,2430530.241914328,2451.508267973901,2130618.96483167
Albania,2014,spp_not_th,591.7418482225219,471740.5496826061,531.5004256539635,431654.1425426655
Albania,2014,spp_th,34,49844,13.493055555555552,37859.9861111111
Albania,2014,spp_unknown_status,9.060112048421942,68963.40984707669,43.094645648037606,331458.5072595638
Algeria,2006,aggregated,40077.298085098584,38528113.27127537,40077.298085098584,38528113.27127537
Algeria,2006,spp_not_th,83043.41126016932,76055707.71786642,83043.41126016932,76055707.71786642
Algeria,2006,spp_th,2622.199439912329,13244729.370997177,2622.199439912329,13244729.370997177
Algeria,2006,spp_unknown_status,2179.3924459868,14737988.927048607,2179.3924459868,14737988.927048607
Algeria,2007,aggregated,47489.835691075954,48727296.123664156,45018.98982241683,45327568.50620123
Algeria,2007,spp_not_th,76963.49268728419,61056901.83094608,78990.13221157923,66056503.79325286
